DATE_TIME,current_contract,next_contract,carry_contract
1992-04-16 23:00:00,19920700,19920800,19920500
1992-05-18 23:00:00,19920800,19920900,19920700
1992-06-17 23:00:00,19920900,19921000,19920800
1992-07-17 23:00:00,19921000,19921200,19920900
1992-09-16 23:00:00,19921200,19930100,19921000
1992-10-16 23:00:00,19930100,19930300,19921200
1992-12-15 23:00:00,19930300,19930500,19930100
1993-02-12 23:00:00,19930500,19930700,19930300
1993-04-16 23:00:00,19930700,19930800,19930500
1993-05-17 23:00:00,19930800,19930900,19930700
1993-06-17 23:00:00,19930900,19931000,19930800
1993-07-16 23:00:00,19931000,19931200,19930900
1993-09-16 23:00:00,19931200,19940100,19931000
1993-10-18 23:00:00,19940100,19940300,19931200
1993-12-15 23:00:00,19940300,19940500,19940100
1994-02-14 23:00:00,19940500,19940700,19940300
1994-04-15 23:00:00,19940700,19940800,19940500
1994-05-17 23:00:00,19940800,19940900,19940700
1994-06-17 23:00:00,19940900,19941000,19940800
1994-07-18 23:00:00,19941000,19941200,19940900
1994-09-16 23:00:00,19941200,19950100,19941000
1994-10-17 23:00:00,19950100,19950300,19941200
1994-12-15 23:00:00,19950300,19950500,19950100
1995-02-14 23:00:00,19950500,19950700,19950300
1995-04-17 23:00:00,19950700,19950800,19950500
1995-05-17 23:00:00,19950800,19950900,19950700
1995-06-16 23:00:00,19950900,19951000,19950800
1995-07-17 23:00:00,19951000,19951200,19950900
1995-09-15 23:00:00,19951200,19960100,19951000
1995-10-17 23:00:00,19960100,19960300,19951200
1995-12-15 23:00:00,19960300,19960500,19960100
1996-02-15 23:00:00,19960500,19960700,19960300
1996-04-16 23:00:00,19960700,19960800,19960500
1996-05-17 23:00:00,19960800,19960900,19960700
1996-06-17 23:00:00,19960900,19961000,19960800
1996-07-17 23:00:00,19961000,19961200,19960900
1996-09-16 23:00:00,19961200,19970100,19961000
1996-10-17 23:00:00,19970100,19970300,19961200
1996-12-16 23:00:00,19970300,19970500,19970100
1997-02-14 23:00:00,19970500,19970700,19970300
1997-04-16 23:00:00,19970700,19970800,19970500
1997-05-16 23:00:00,19970800,19970900,19970700
1997-06-17 23:00:00,19970900,19971000,19970800
1997-07-17 23:00:00,19971000,19971200,19970900
1997-09-16 23:00:00,19971200,19980100,19971000
1997-10-17 23:00:00,19980100,19980300,19971200
1997-12-15 23:00:00,19980300,19980500,19980100
1998-02-13 23:00:00,19980500,19980700,19980300
1998-04-16 23:00:00,19980700,19980800,19980500
1998-05-18 23:00:00,19980800,19980900,19980700
1998-06-17 23:00:00,19980900,19981000,19980800
1998-07-17 23:00:00,19981000,19981200,19980900
1998-09-16 23:00:00,19981200,19990100,19981000
1998-10-16 23:00:00,19990100,19990300,19981200
1998-12-15 23:00:00,19990300,19990500,19990100
1999-02-12 23:00:00,19990500,19990700,19990300
1999-04-16 23:00:00,19990700,19990800,19990500
1999-05-17 23:00:00,19990800,19990900,19990700
1999-06-17 23:00:00,19990900,19991000,19990800
1999-07-16 23:00:00,19991000,19991200,19990900
1999-09-16 23:00:00,19991200,20000100,19991000
1999-10-18 23:00:00,20000100,20000300,19991200
1999-12-16 23:00:00,20000300,20000500,20000100
2000-02-15 23:00:00,20000500,20000700,20000300
2000-04-17 23:00:00,20000700,20000800,20000500
